شاخ‌دار	very false
یکی از مبهم‌ترین و شبهه‌برانگیزترین پرونده‌های قضایی	complicated
نادرست	false
گمراه‌کننده	misleading
استارلینک چیست و ایرانیان برای رهایی از فیلترنت تا چه اندازه می‌توانند به آن اتکا کنند؟	other/article
آنچه تا کنون درباره واکسن کووید۱۹ می‌دانیم	other/article
تناقض‌ها میان روایت‌های رسمی و غیررسمی و اخبار جعلی	other/article
درست	true
تازه‌ترین توصیه‌های سازمان بهداشت جهانی	other/article
پاسخ به سوالاتی درباره برنامه همکاری ۲۵ ساله ایران و چین	other/article
همه آنچه را که در خصوص این قرارداد ۲۵ ساله با یک دولت خارجی در دسترس عموم است	other/article
نگاهی به ورود نظارت استصوابی به قانون انتخابات	other/article
در چه شرایطی ممکن است رهبر و رئیس‌جمهور ایران از این ماجرا بی‌اطلاع باشند.	other/article
نیمه‌درست	mostly true
نیمه درست	mostly true
قانون منع نکرده است.	other/article
پاسخ به سوال‌های متداول درباره کرونا	other/article
غیرقابل اثبات	unproven
نگاهی به شش خبر جعلی درباره تلفات حمله موشکی ایران به پایگاه آمریکایی	other/article
رهبر پیش از این به دولت دستور داده بود که این طرح را عملیاتی کنند و جلوی مصرف بی رویه بنزین در داخل را بگیرند.	other/article
عادل عبدالمهدی، نخست وزیر عراق، پیش از این از مقام خود استعفا داده و تصویب یا رد این قطعنامه به امضای نخست وزیر جدید این کشور بستگی دارد.	other/article
سوال‌های متداول	other/article
در لایحه بودجه ۹۹ برای موسسه انقلاب اسلامی یا همان دفتر حفظ و نشر آثار آیت‌الله خامنه‌ای که عمومی‌ترین فعالیت آن به‌روزرسانی سایت رهبر ایران است ۳۴ میلیارد تومان بودجه در نظر گرفته شده است.	other/article
سازوکار شورای هماهنگی اقتصادی سران قوا	other/article
نیمه‌درست- مربوط به سال ۹۵ است	other/article
پاسخ به سوال‌های متداول	other/article
تخلف عمدتا توسط یک فرد یا نهاد صورت می‌گیرد و در نتیجه انتخابات تاثیرگذار نیست. تخلف در مواردی که بار مجرمانه داشته باشد مجازاتی برای آن پیش‌بینی شده، ولی تقلب از اهمیت بیشتری برخوردار است چرا که می‌تواند به تغییر نتیجه انتخابات منجر شود و ابطال انتخابات را در پی داشته باشد.	other/article
بیشتر اطلاعات این اینفوگرافی نادرست یا گمراه‌کننده است.	misleading
گاهشمار وقایع سقوط هواپیمای اوکراینی	other/article
۱- تکذیب‌های قطعی، تایید ناگهانی ۲- تناقض ادعای منابع ۳- ابهام‌های آماری ۴- تئوری توطئه؛ نظریه‌ غالب ۵-  نداشتن اختیار کافی و ناتوانی از مداخله	other/article
بررسی بخشی از فرایند اطلاع‌رسانی در زمینه‌ی انفجارها	other/article
بدون احتساب کاندیداهایی که انصراف داده‌اند، هیات‌های نظارتی شورای نگهبان در استان‌ها، رای به تایید صلاحیت ۴۱.۶ درصد کاندیداها و رد و عدم احراز صلاحیت ۵۸.۴ درصد کاندیداها داده‌اند	other/article
مسئولیت و اختیار تصمیم‌گیری در شورای امنیت کشور بر عهده وزیر کشور و در سطح استانی، بر عهده استانداری‌ها، فرمانداری‌ها است و شورا صرفا نقش مشورتی دارد.	other/article
گمراه کننده	misleading
سازوکار فیلترینگ اینترنت در ایران	other/article
آنچه درباره ماجرای ابتلای اهالی روستای چنار محمودی لردگان به ایدز می‌دانیم.	other/article
بررسی انتخابات مجلس اول	other/article
آنچه درباره «مواضع اعتدالی» قاسم سلیمانی مطرح شده است، ادعاهایی بزرگ‌ و برخلاف اسناد و مدارک در دسترس عموم هستند. به نظر ما ادعاهای بزرگ مستلزم ادله بزرگ و محکم است. تا زمانی که مدارکی محکم و مستدل در تایید ادعاهای مطرح شده بالا منتشر نشود، نمی‌توان آن‌ها را معتبر تلقی کرد.	other/article
ادعای خواص درمانی ادرار شتر برای کووید۱۹ بی‌اساس است	other/article
قطع اینترنت توسط دولت، به منزله ایجاد محدودیت برای شهروندان، مخالف نص صریح اصل ۷۹ قانون اساسی و نافی ماده ۱۹ اعلامیه جهانی حقوق بشر و نافی بند ۲ ماده ۱۹ میثاق حقوق مدنی و سیاسی و ناقض قطعنامه ترویج، حمایت و بهره‌مندی از حقوق بشر در اینترنت مصوب مجمع عمومی سازمان ملل متحد است.	other/article
با استفاده از ابزار مخصوص برآورد جمعیت، شرکت‌کنندگان مراسم اهواز را بین ۵۸ هزار تا ۸۷ هزار و جمعیت شرکت‌کنندگان تهران را بین یک میلیون و تا یک میلیون و ۵۰۰ تن محاسبه کردیم.	other/article
